日付,歩数
2023-11-30 15:00,13
2023-11-30 15:15,0
2023-11-30 15:30,12
2023-11-30 15:45,0
2023-11-30 16:00,0
2023-11-30 16:15,0
2023-11-30 16:30,0
2023-11-30 16:45,0
2023-11-30 17:00,0
2023-11-30 17:15,0
2023-11-30 17:30,0
2023-11-30 17:45,0
2023-11-30 18:00,0
2023-11-30 18:15,0
2023-11-30 18:30,0
2023-11-30 18:45,0
2023-11-30 19:00,0
2023-11-30 19:15,0
2023-11-30 19:30,0
2023-11-30 19:45,0
2023-11-30 20:00,0
2023-11-30 20:15,0
2023-11-30 20:30,0
2023-11-30 20:45,0
2023-11-30 21:00,0
2023-11-30 21:15,0
2023-11-30 21:30,77
2023-11-30 21:45,376
2023-11-30 22:00,548
2023-11-30 22:15,76
2023-11-30 22:30,391
2023-11-30 22:45,79
2023-11-30 23:00,0
2023-11-30 23:15,470
2023-11-30 23:30,0
2023-11-30 23:45,809
2023-12-01 00:00,27
